file_name,confidence_level
all.md,100.0
APIException.md,67.0
APIException__init__.md,100.0
APIRouter.md,100.0
api_routerinclude_router.md,100.0
API_V1_STR.md,100.0
appapiv1apipymodule_code.md,94.0
appapiv1endpointsstatisticspymodule_code.md,100.0
appcoreconfigpymodule_code.md,100.0
appexception_handler.md,100.0
appget.md,100.0
appinclude_router.md,100.0
appmount.md,100.0
appservicesdata_servicepymodule_code.md,100.0
appservicesfinancial_servicepymodule_code.md,100.0
appservicesstats_servicepymodule_code.md,100.0
appservicesvalidation_servicepymodule_code.md,100.0
APP_NAME.md,100.0
BaseModel.md,100.0
BaseSettings.md,100.0
calculate_std_deviation.md,100.0
CalculationError.md,0.0
CalculationError__init__.md,0.0
cdf.md,100.0
ConfidenceIntervalInput.md,100.0
connclose.md,100.0
conncursor.md,100.0
CorrelationInput.md,100.0
CorrelationInputcheck_min_columns.md,100.0
create_dbpymodule_code.md,50.0
create_sample_database.md,85.0
cursorexecute.md,100.0
cursorfetchone.md,100.0
DataError.md,0.0
DataError__init__.md,0.0
DataService.md,86.0
DataServiceget_dataframe_from_sqlite.md,71.0
DataServiceget_series_from_file.md,56.0
DataServiceget_series_from_sqlite.md,100.0
decode.md,100.0
Depends.md,100.0
DescriptiveStatsInput.md,100.0
dfcorr.md,100.0
dfselect_dtypes.md,100.0
dfto_csv.md,100.0
dfto_sql.md,100.0
dict.md,100.0
DualInput.md,100.0
endswith.md,100.0
Exception.md,100.0
exists.md,100.0
FastAPI.md,100.0
Field.md,100.0
field_validator.md,100.0
FinancialService.md,100.0
FinancialServicecalculate_future_value.md,100.0
FinancialServicecalculate_payment.md,100.0
FinancialServicecalculate_present_value.md,100.0
float.md,100.0
FutureValueInput.md,100.0
FutureValueInputcash_outflow_must_be_negative.md,100.0
get_confidence_interval.md,100.0
get_correlation_matrix.md,100.0
get_dataframe_from_sqlite.md,100.0
get_descriptive_stats.md,100.0
get_z_scores.md,100.0
inv.md,100.0
isnull.md,100.0
is_numeric_dtype.md,100.0
Jinja2Templates.md,100.0
join.md,100.0
JSONResponse.md,100.0
len.md,100.0
List.md,100.0
ListInput.md,100.0
LoanPaymentInput.md,100.0
lstsq.md,100.0
mainpymodule_code.md,100.0
MatrixInput.md,100.0
MatrixInputmatrix_must_be_square.md,100.0
MatrixInputto_numpy_array.md,100.0
npabs.md,100.0
nparray.md,100.0
npcolumn_stack.md,100.0
npdiag.md,100.0
npffv.md,100.0
npfpmt.md,100.0
npfpv.md,100.0
npmean.md,100.0
npmedian.md,100.0
npones.md,100.0
npsqrt.md,100.0
npstd.md,100.0
npsum.md,100.0
npvar.md,100.0
Optional.md,100.0
osmakedirs.md,100.0
osremove.md,100.0
pdDataFrame.md,100.0
pdread_csv.md,100.0
pdread_sql_query.md,100.0
perform_regression.md,100.0
perform_ttest.md,100.0
ppf.md,100.0
print.md,100.0
read.md,100.0
RegressionInput.md,100.0
RegressionInputdependent_var_not_in_independent.md,100.0
round.md,100.0
routerpost.md,100.0
selfget_dataframe_from_sqlite.md,100.0
self_load_data.md,100.0
serviceperform_independent_ttest.md,100.0
Settings.md,50.0
SingleInput.md,100.0
sqlite3connect.md,100.0
StaticFiles.md,100.0
statsmode.md,100.0
StatsService.md,73.0
StatsServicecalculate_confidence_interval.md,75.0
StatsServicecalculate_correlation_matrix.md,100.0
StatsServicecalculate_descriptive_stats.md,100.0
StatsServicecalculate_standard_deviation.md,100.0
StatsServicecalculate_z_scores.md,100.0
StatsServiceperform_independent_ttest.md,100.0
StatsServiceperform_ols_regression.md,60.0
StatsService_load_data.md,100.0
statsttest_ind.md,100.0
stats_svccalculate_confidence_interval.md,100.0
stats_svccalculate_correlation_matrix.md,100.0
stats_svccalculate_descriptive_stats.md,100.0
stats_svccalculate_standard_deviation.md,100.0
stats_svccalculate_z_scores.md,100.0
stats_svcperform_ols_regression.md,100.0
StdDevInput.md,100.0
str.md,100.0
StringIO.md,100.0
stsem.md,100.0
super.md,100.0
templatesTemplateResponse.md,100.0
tolist.md,100.0
to_dict.md,100.0
TTestInput.md,100.0
TTestInputsamples_must_not_be_identical.md,100.0
UploadFile.md,100.0
ValidationService.md,84.0
ValidationServicevalidate_correlation_inputs.md,64.0
ValidationServicevalidate_regression_inputs.md,41.0
ValidationService__init__.md,100.0
validatorvalidate_correlation_inputs.md,100.0
validatorvalidate_regression_inputs.md,100.0
ValueError.md,100.0
X.md,100.0
XTX_inv.md,100.0
zip.md,100.0
ZScoreInput.md,100.0
__init__.md,100.0
